District,Commodity,Mean_Price,Std_Price,Record_Count
agra,Onion,2016.67,819.93,2536
agra,Potato,1270.51,456.45,3340
agra,Rice,3370.2,90.09,101
agra,Tomato,3319.06,2588.96,366
agra,Wheat,2375.22,138.79,568
aligarh,Onion,2220.56,819.84,1544
aligarh,Potato,1266.61,439.41,2443
aligarh,Rice,3420.62,36.75,48
aligarh,Tomato,3289.71,2635.33,248
aligarh,Wheat,2344.63,128.31,630
ambedkarnagar,Onion,2256.33,908.22,698
ambedkarnagar,Potato,1390.46,499.22,804
ambedkarnagar,Rice,3255.32,37.68,47
ambedkarnagar,Tomato,3902.92,2636.34,144
ambedkarnagar,Wheat,2391.13,112.39,194
amethi,Onion,2301.9,893.31,1366
amethi,Potato,1388.39,509.27,1538
amethi,Rice,3286.01,30.38,69
amethi,Tomato,4682.52,2618.92,111
amethi,Wheat,2389.47,109.43,473
amroha,Onion,1622.96,843.33,1514
amroha,Potato,1186.82,469.26,1741
amroha,Rice,3244.89,15.61,44
amroha,Tomato,2278.56,2040.39,245
amroha,Wheat,2263.32,143.18,327
auraiya,Onion,2252.22,955.44,1273
auraiya,Potato,1267.07,456.06,1698
auraiya,Rice,3037.55,15.14,104
auraiya,Tomato,3085.54,2378.75,221
auraiya,Wheat,2366.96,114.74,448
azamgarh,Onion,2336.88,948.74,600
azamgarh,Potato,1391.66,501.95,674
azamgarh,Rice,3289.67,30.54,46
azamgarh,Tomato,3377.67,2592.64,105
azamgarh,Wheat,2359.34,89.48,182
badaun,Onion,2045.21,830.73,2384
badaun,Potato,1252.43,469.64,3784
badaun,Rice,3327.95,22.93,78
badaun,Tomato,3776.03,2916.73,273
badaun,Wheat,2357.22,158.8,822
baghpat,Onion,2237.32,1058.31,756
baghpat,Potato,1262.84,474.11,1497
baghpat,Rice,3240.98,5.66,51
baghpat,Tomato,2018.24,1549.77,85
bahraich,Onion,2362.39,908.31,1090
bahraich,Potato,1499.23,520.19,1257
bahraich,Rice,3244.62,26.88,52
bahraich,Tomato,4589.67,2727.94,135
bahraich,Wheat,2396.58,85.38,406
ballia,Onion,2402.88,974.3,1733
ballia,Potato,1449.33,529.36,1991
ballia,Rice,3121.09,409.74,160
ballia,Tomato,4009.8,2860.92,200
ballia,Wheat,2352.17,94.06,409
balrampur,Onion,2621.51,1165.09,1301
balrampur,Potato,1568.38,598.46,1548
balrampur,Rice,3052.54,181.73,132
balrampur,Tomato,4266.5,2619.55,143
balrampur,Wheat,2371.91,347.4,538
banda,Onion,2273.87,1005.76,1180
banda,Potato,1422.58,495.62,1341
banda,Rice,3032.55,269.46,49
banda,Tomato,3443.28,2680.01,241
banda,Wheat,2278.62,105.93,405
barabanki,Onion,2352.07,980.0,1167
barabanki,Potato,1433.71,541.17,1315
barabanki,Rice,3241.4,241.32,68
barabanki,Tomato,4467.11,2710.95,128
barabanki,Wheat,2392.83,108.24,274
bareilly,Onion,1983.38,796.59,1736
bareilly,Potato,1188.13,459.18,1939
bareilly,Rice,3060.69,238.07,101
bareilly,Tomato,3495.87,2614.11,212
bareilly,Wheat,2368.44,74.72,194
basti,Onion,2392.0,969.49,566
basti,Potato,1451.88,525.1,648
basti,Rice,3214.49,13.36,49
basti,Tomato,3669.15,2650.83,82
basti,Wheat,2355.74,94.34,197
bijnor,Onion,1989.94,822.3,1417
bijnor,Potato,1331.43,523.09,2147
bijnor,Tomato,3131.65,2579.83,182
bijnor,Wheat,2381.76,97.92,145
bulandshahar,Onion,2139.41,874.85,4255
bulandshahar,Potato,1252.06,485.42,4989
bulandshahar,Rice,3238.39,7.92,153
bulandshahar,Tomato,3067.3,2407.31,403
bulandshahar,Wheat,2323.68,125.16,913
chandauli,Onion,2371.67,1017.63,544
chandauli,Potato,1460.12,534.03,617
chandauli,Rice,3337.2,26.23,50
chandauli,Tomato,3456.01,2648.03,69
chandauli,Wheat,2372.93,95.03,200
deoria,Onion,2359.77,979.52,526
deoria,Potato,1425.81,527.93,583
deoria,Rice,3201.29,15.59,35
deoria,Tomato,3835.85,2616.57,71
deoria,Wheat,2341.57,99.28,236
etah,Onion,2107.86,817.56,923
etah,Potato,1283.25,479.37,1022
etah,Rice,3264.05,28.98,37
